"r_rc_tcs"
"Iteration" "rc_tcs"
("Iteration" "rc_tcs(rca)" "rc_tcs(rcb)" "rc_tcs(rcc)" "rc_tcs(rcd)")
35 276.6383972167969 276.5868530273438 275.9602661132812 275.1385192871094
36 276.6245727539062 276.5672912597656 275.9328002929688 275.1424865722656
37 276.5634155273438 276.5008850097656 275.8609008789062 275.1385498046875
38 276.5708312988281 276.5091857910156 275.8627319335938 275.1538391113281
39 276.5605773925781 276.4946899414062 275.8348999023438 275.142822265625
40 276.5369567871094 276.4666748046875 275.7964782714844 275.1345825195312
41 276.5260620117188 276.4527587890625 275.7791137695312 275.1280822753906
42 276.5130004882812 276.4378662109375 275.755615234375 275.1314392089844
43 276.5029296875 276.4220581054688 275.7317810058594 275.1278381347656
44 276.5019226074219 276.4177551269531 275.7221374511719 275.14794921875
45 276.5013732910156 276.4168090820312 275.7103881835938 275.1571960449219
46 276.5552368164062 276.4591064453125 275.7452392578125 275.23828125
47 276.56005859375 276.4737548828125 275.7553405761719 275.2577209472656
48 276.5593566894531 276.471923828125 275.7456970214844 275.268310546875
49 276.5606689453125 276.4730529785156 275.7410888671875 275.2853088378906
50 276.5624389648438 276.4747314453125 275.73779296875 275.2985534667969
51 276.5636596679688 276.4763488769531 275.7349548339844 275.3096923828125
52 276.5650329589844 276.4780578613281 275.7328491210938 275.3202819824219
53 276.5670166015625 276.4802551269531 275.7319641113281 275.3294372558594
54 276.5693969726562 276.4827270507812 275.7323303222656 275.3385009765625
55 276.5719299316406 276.4852294921875 275.73291015625 275.3455200195312
56 276.5755615234375 276.4880981445312 275.7349548339844 275.3538818359375
57 276.5797729492188 276.4919128417969 275.7383422851562 275.3607788085938
58 276.5848388671875 276.4960021972656 275.7426452636719 275.3680419921875
59 276.5903930664062 276.5003967285156 275.7476806640625 275.3749084472656
60 276.5969848632812 276.5051574707031 275.75390625 275.3825378417969
61 276.6034545898438 276.5099792480469 275.7601318359375 275.3888549804688
62 276.6124877929688 276.5160217285156 275.7685241699219 275.3974914550781
63 276.6190490722656 276.5209350585938 275.775390625 275.4024353027344
64 276.629638671875 276.52734375 275.7853698730469 275.4066772460938
65 276.6359252929688 276.5321960449219 275.7911376953125 275.4140014648438
66 276.6463317871094 276.5370788574219 275.79833984375 275.4186401367188
67 276.6549072265625 276.5425415039062 275.805908203125 275.4223022460938
68 276.6646728515625 276.5477600097656 275.8143920898438 275.4208374023438
69 276.6716003417969 276.5519714355469 275.8192443847656 275.4274597167969
70 276.6830139160156 276.5570678710938 275.8264465332031 275.4305419921875
71 276.69189453125 276.5615844726562 275.8327941894531 275.4327697753906
72 276.7009582519531 276.56591796875 275.8385314941406 275.4323120117188
73 276.7103881835938 276.5700988769531 275.8435363769531 275.4363403320312
74 276.7222595214844 276.5750122070312 275.849609375 275.4383544921875
75 276.7286376953125 276.5785217285156 275.853515625 275.4400024414062
76 276.7425231933594 276.5827941894531 275.8586730957031 275.4385986328125
77 276.7487487792969 276.585693359375 275.86181640625 275.4359741210938
78 276.7611389160156 276.589599609375 275.8661499023438 275.4359741210938
79 276.7702941894531 276.5923767089844 275.8696899414062 275.432861328125
80 276.7803039550781 276.5954284667969 275.8730163574219 275.431396484375
81 276.7909851074219 276.5985717773438 275.8767395019531 275.4286499023438
82 276.80126953125 276.6028747558594 275.8822631835938 275.427001953125
83 276.8115844726562 276.6051330566406 275.8851013183594 275.4236450195312
84 276.8197326660156 276.6086730957031 275.8901977539062 275.4226989746094
85 276.8320922851562 276.6111145019531 275.8941650390625 275.4191284179688
86 276.8428649902344 276.6121520996094 275.8972473144531 275.4139099121094
87 276.8534545898438 276.6146850585938 275.902587890625 275.4114379882812
88 276.8648376464844 276.6174926757812 275.9080505371094 275.4088134765625
89 276.8756103515625 276.6204223632812 275.9140930175781 275.40673828125
90 276.8877563476562 276.6229248046875 275.9200134277344 275.4043273925781
91 276.8988037109375 276.6256713867188 275.9268493652344 275.40234375
92 276.91162109375 276.6286010742188 275.9342041015625 275.4011535644531
93 276.9236755371094 276.6317443847656 275.9419250488281 275.3993835449219
94 276.9373779296875 276.635009765625 275.9501953125 275.3992004394531
95 276.950927734375 276.6387939453125 275.9592590332031 275.3988952636719
96 276.9652404785156 276.6424865722656 275.9683532714844 275.3995056152344
97 276.9792175292969 276.6461791992188 275.9778137207031 275.4000549316406
98 276.9941101074219 276.6503601074219 275.98779296875 275.4018859863281
99 277.0086975097656 276.6546325683594 275.9979553222656 275.4031066894531
100 277.0236206054688 276.6583251953125 276.0077209472656 275.4053955078125
101 277.0392150878906 276.6627502441406 276.0184326171875 275.4088134765625
102 277.0553894042969 276.6676635742188 276.0297241210938 275.4134826660156
103 277.0715942382812 276.6726989746094 276.0408630371094 275.4179077148438
104 277.0884399414062 276.6778869628906 276.0523681640625 275.4239501953125
105 277.1048889160156 276.6829833984375 276.0635986328125 275.4291687011719
106 277.1221923828125 276.6885681152344 276.0751647949219 275.4366455078125
107 277.1395874023438 276.6943359375 276.0867919921875 275.4438781738281
108 277.157470703125 276.700439453125 276.098876953125 275.4529113769531
109 277.1748962402344 276.7062377929688 276.1103210449219 275.461669921875
110 277.1934509277344 276.7128601074219 276.12255859375 275.4721069335938
111 277.2135620117188 276.7211303710938 276.1354675292969 275.4805603027344
112 277.2303161621094 276.7257690429688 276.1452026367188 275.4917907714844
113 277.251708984375 276.73486328125 276.1596374511719 275.5069580078125
114 277.2658996582031 276.7400512695312 276.1686706542969 275.5159301757812
115 277.2833862304688 276.7453002929688 276.1784973144531 275.5274963378906
116 277.3035278320312 276.7534790039062 276.19140625 275.5438232421875
117 277.3186950683594 276.7588500976562 276.2002258300781 275.5535278320312
118 277.3353271484375 276.7638549804688 276.2092895507812 275.56640625
119 277.3521118164062 276.7696228027344 276.2188720703125 275.5799560546875
120 277.3689575195312 276.77587890625 276.2285461425781 275.5934143066406
121 277.3863220214844 276.7822265625 276.2377624511719 275.6056518554688
122 277.40234375 276.7876281738281 276.2461242675781 275.6190490722656
123 277.4179077148438 276.7927856445312 276.2540283203125 275.6318054199219
124 277.4335632324219 276.7979736328125 276.2617797851562 275.6445007324219
125 277.4486389160156 276.8027954101562 276.2687072753906 275.6565246582031
126 277.4635620117188 276.8073425292969 276.2752685546875 275.66845703125
127 277.478271484375 276.8119201660156 276.2814636230469 275.6801452636719
128 277.4932250976562 276.8164672851562 276.2874145507812 275.692138671875
129 277.5070190429688 276.8203430175781 276.2922973632812 275.703369140625
130 277.5210266113281 276.82421875 276.2971801757812 275.7146301269531
131 277.5343322753906 276.8275756835938 276.3013305664062 275.7253723144531
132 277.5477600097656 276.8309631347656 276.3051147460938 275.7360229492188
133 277.560546875 276.8338012695312 276.3082275390625 275.7457885742188
134 277.5728759765625 276.836181640625 276.3106689453125 275.7552185058594
135 277.5848999023438 276.8383178710938 276.3125915527344 275.7643737792969
136 277.596435546875 276.8399353027344 276.31396484375 275.7728881835938
137 277.6078186035156 276.8414611816406 276.3151550292969 275.7811584472656
138 277.6185913085938 276.8424072265625 276.3156433105469 275.7888488769531
139 277.6292114257812 276.8430786132812 276.3157043457031 275.796142578125
140 277.6393127441406 276.8435363769531 276.3152160644531 275.802978515625
141 277.64892578125 276.8434143066406 276.3142700195312 275.809326171875
142 277.659423828125 276.8434448242188 276.3133239746094 275.8154907226562
143 277.6689147949219 276.8431091308594 276.3120422363281 275.8212280273438
144 277.6793823242188 276.8430480957031 276.3106079101562 275.8254089355469
145 277.6882934570312 276.8418579101562 276.3083801269531 275.8307495117188
146 277.6966857910156 276.8406372070312 276.3062744140625 275.8354187011719
147 277.7036437988281 276.8387145996094 276.3035278320312 275.8392028808594
148 277.7113342285156 276.8368225097656 276.3005065917969 275.8419189453125
149 277.7183532714844 276.8347473144531 276.2975463867188 275.8446655273438
150 277.7252807617188 276.8324584960938 276.294189453125 275.846923828125
151 277.7321166992188 276.8295288085938 276.2903747558594 275.8491516113281
152 277.7384033203125 276.8262329101562 276.2861633300781 275.8512878417969
153 277.7445983886719 276.8224792480469 276.2815551757812 275.8535766601562
154 277.7505798339844 276.8191528320312 276.2777404785156 275.8560180664062
155 277.7571105957031 276.8163452148438 276.2744140625 275.859130859375
156 277.7655334472656 276.8148498535156 276.2722778320312 275.8631286621094
157 277.7730712890625 276.8135375976562 276.2704467773438 275.8676452636719
158 277.7832336425781 276.8134460449219 276.2694091796875 275.8717956542969
159 277.7928161621094 276.8137817382812 276.2693786621094 275.8778381347656
160 277.8019714355469 276.8143005371094 276.2694091796875 275.88330078125
161 277.8134155273438 276.8156127929688 276.2702331542969 275.8898315429688
162 277.8239440917969 276.8172607421875 276.2704162597656 275.8934631347656
163 277.8354797363281 276.8187255859375 276.2713317871094 275.8997192382812
164 277.8443908691406 276.81982421875 276.2713928222656 275.903564453125
165 277.8591003417969 276.8224182128906 276.2719421386719 275.9066162109375
166 277.8693237304688 276.8238220214844 276.2726745605469 275.9124145507812
167 277.878173828125 276.8249206542969 276.2731018066406 275.9171447753906
168 277.8873596191406 276.8258056640625 276.2732849121094 275.9215698242188
169 277.8962707519531 276.8266296386719 276.2733764648438 275.9256591796875
170 277.9023742675781 276.8269958496094 276.2731628417969 275.9284973144531
171 277.9093933105469 276.8270568847656 276.2725219726562 275.9309997558594
172 277.9206848144531 276.8272094726562 276.271484375 275.9344177246094
173 277.9266967773438 276.8273010253906 276.2709655761719 275.9369506835938
174 277.9360046386719 276.8269958496094 276.2695007324219 275.9396057128906
175 277.9434509277344 276.8275756835938 276.2694091796875 275.9421081542969
176 277.9510498046875 276.8280029296875 276.26904296875 275.9446716308594
177 277.9610900878906 276.8281860351562 276.2681884765625 275.9479370117188
178 277.9679565429688 276.8282470703125 276.2674865722656 275.9503173828125
179 277.9765930175781 276.8291931152344 276.2675170898438 275.952880859375
180 277.9866638183594 276.8298950195312 276.2673034667969 275.9563293457031
181 277.9938659667969 276.8308715820312 276.2673645019531 275.9585266113281
182 278.009521484375 276.8340454101562 276.26904296875 275.9629516601562
183 278.0174255371094 276.8357238769531 276.2698974609375 275.9664306640625
184 278.0229187011719 276.8363647460938 276.2699584960938 275.9685363769531
185 278.0312805175781 276.8370971679688 276.2698974609375 275.9717712402344
186 278.0378112792969 276.8377990722656 276.2701416015625 275.9749755859375
187 278.0447082519531 276.8388671875 276.270263671875 275.9767761230469
188 278.0536804199219 276.83984375 276.2705993652344 275.9799194335938
189 278.0617980957031 276.8411865234375 276.2709655761719 275.9817504882812
190 278.0683288574219 276.842041015625 276.2713623046875 275.9847412109375
191 278.0750427246094 276.8430786132812 276.2714538574219 275.98583984375
192 278.0818176269531 276.8436889648438 276.2716369628906 275.9884033203125
193 278.0874633789062 276.8442077636719 276.2712097167969 275.9886474609375
194 278.0923461914062 276.8444213867188 276.271240234375 275.9906005859375
195 278.098876953125 276.8450317382812 276.2708435058594 275.9908142089844
196 278.1045227050781 276.84521484375 276.2707824707031 275.9925537109375
197 278.10888671875 276.8453369140625 276.2699890136719 275.9918212890625
198 278.1123962402344 276.8450012207031 276.2695922851562 275.9927673339844
199 278.1174621582031 276.8449401855469 276.2683715820312 275.9916076660156
200 278.1206359863281 276.8443908691406 276.2677612304688 275.9921569824219
201 278.1251525878906 276.84423828125 276.2666625976562 275.9908142089844
202 278.1278381347656 276.8435974121094 276.2660217285156 275.9911499023438
203 278.1321105957031 276.8437194824219 276.2657470703125 275.9915161132812
204 278.1366882324219 276.8434753417969 276.2644653320312 275.9892272949219
205 278.138427734375 276.8426208496094 276.2636413574219 275.989013671875
206 278.1420593261719 276.8426208496094 276.2633361816406 275.9891052246094
207 278.1456604003906 276.8427429199219 276.2630920410156 275.9888610839844
208 278.149169921875 276.84228515625 276.2615661621094 275.9857482910156
209 278.1496887207031 276.8409729003906 276.2602233886719 275.9847717285156
210 278.1519165039062 276.8403015136719 276.2592468261719 275.98388671875
211 278.1542053222656 276.8398742675781 276.258544921875 275.98291015625
212 278.1562194824219 276.8394775390625 276.2577819824219 275.9817504882812
213 278.1582641601562 276.8390808105469 276.2571716308594 275.9805908203125
214 278.1600646972656 276.8385925292969 276.2563171386719 275.9791870117188
215 278.1615600585938 276.8380737304688 276.2554931640625 275.9777526855469
216 278.162841796875 276.8374633789062 276.2546081542969 275.9761962890625
217 278.1639099121094 276.8367309570312 276.2535400390625 275.9742736816406
218 278.1646118164062 276.8359375 276.2523803710938 275.9723815917969
219 278.1650695800781 276.8348999023438 276.2509460449219 275.9701232910156
220 278.1651916503906 276.8338317871094 276.2496032714844 275.9677124023438
221 278.1649475097656 276.8327026367188 276.2481384277344 275.9654235839844
222 278.1644287109375 276.8313598632812 276.2465209960938 275.9629821777344
223 278.1639404296875 276.8301696777344 276.2449645996094 275.9604797363281
224 278.1632080078125 276.8287353515625 276.2433166503906 275.9576721191406
225 278.1620788574219 276.8273315429688 276.2415466308594 275.9548034667969
226 278.1609191894531 276.8258056640625 276.2396850585938 275.9518127441406
227 278.1596069335938 276.8242492675781 276.2377624511719 275.9487915039062
228 278.1581115722656 276.8226928710938 276.2359008789062 275.9456176757812
229 278.1561279296875 276.8209228515625 276.2337341308594 275.942138671875
230 278.1538696289062 276.8189086914062 276.2314147949219 275.9384155273438
231 278.1517028808594 276.8169250488281 276.2291870117188 275.9346923828125
232 278.1493530273438 276.8150634765625 276.2268676757812 275.9309692382812
233 278.1467895507812 276.8130493164062 276.2243957519531 275.9268493652344
234 278.1439208984375 276.81103515625 276.2220153808594 275.9228515625
235 278.1415100097656 276.8091125488281 276.2196960449219 275.9189147949219
236 278.1386108398438 276.8071594238281 276.2172546386719 275.914794921875
237 278.1355590820312 276.8050842285156 276.2147521972656 275.910400390625
238 278.1322937011719 276.8030395507812 276.2121276855469 275.9060668945312
239 278.129150390625 276.801025390625 276.209716796875 275.9018859863281
240 278.1258544921875 276.7990417480469 276.2072448730469 275.8976745605469
241 278.1225280761719 276.7970581054688 276.2047729492188 275.8934020996094
242 278.1191711425781 276.795166015625 276.2024536132812 275.8893127441406
243 278.1159362792969 276.79345703125 276.2001953125 275.8854064941406
244 278.1122741699219 276.7916870117188 276.1979064941406 275.88134765625
245 278.1091613769531 276.7901916503906 276.1960144042969 275.8778076171875
246 278.10595703125 276.7887878417969 276.194091796875 275.8742980957031
247 278.1025695800781 276.7872924804688 276.1919860839844 275.8705749511719
248 278.0995788574219 276.7861328125 276.1902770996094 275.8673400878906
249 278.0963439941406 276.7850341796875 276.188720703125 275.8641967773438
250 278.0932922363281 276.7840576171875 276.1871643066406 275.8612365722656
251 278.0901794433594 276.7831726074219 276.1856994628906 275.8583679199219
252 278.0872192382812 276.7824096679688 276.1843566894531 275.8555603027344
253 278.0844421386719 276.7818603515625 276.1832275390625 275.8531494140625
254 278.0816040039062 276.7813720703125 276.1821594238281 275.8508911132812
255 278.0786437988281 276.781005859375 276.1811828613281 275.8487243652344
256 278.0758666992188 276.7807006835938 276.1802062988281 275.8465270996094
257 278.0728454589844 276.7804565429688 276.1792602539062 275.8443908691406
258 278.0703430175781 276.7803649902344 276.1785888671875 275.8426513671875
259 278.0675964355469 276.7803649902344 276.177978515625 275.8410949707031
260 278.0649108886719 276.7805786132812 276.1774291992188 275.8396606445312
261 278.0614318847656 276.7804565429688 276.1763610839844 275.8375244140625
262 278.0598754882812 276.7808532714844 276.1763610839844 275.8368530273438
263 278.0575866699219 276.7815856933594 276.1763305664062 275.8360290527344
264 278.0544738769531 276.7824096679688 276.1761474609375 275.8348083496094
265 278.0534362792969 276.7829895019531 276.1763610839844 275.8345947265625
266 278.051025390625 276.7839660644531 276.1765747070312 275.8340454101562
267 278.0489196777344 276.7849426269531 276.1767578125 275.8336181640625
268 278.046875 276.7860412597656 276.1771240234375 275.8334045410156
269 278.044677734375 276.7871398925781 276.1772155761719 275.8327331542969
270 278.0431518554688 276.7880554199219 276.1776428222656 275.8327026367188
271 278.0408020019531 276.7893676757812 276.1780090332031 275.83251953125
272 278.0386047363281 276.7906494140625 276.1782836914062 275.832275390625
273 278.037841796875 276.7914733886719 276.1785888671875 275.83203125
274 278.0348815917969 276.7928466796875 276.1788024902344 275.8317260742188
275 278.0330505371094 276.7939147949219 276.1792907714844 275.8317565917969
276 278.0308227539062 276.795166015625 276.1796569824219 275.8316650390625
277 278.0289001464844 276.7964477539062 276.1801147460938 275.8316650390625
278 278.0271606445312 276.7975769042969 276.1804504394531 275.8315734863281
279 278.0249328613281 276.7987670898438 276.1808471679688 275.8314819335938
280 278.0228576660156 276.7999267578125 276.1811828613281 275.8313598632812
281 278.0207824707031 276.8010864257812 276.1814880371094 275.8311767578125
282 278.0185241699219 276.8022766113281 276.1817321777344 275.8309936523438
283 278.0162658691406 276.8033142089844 276.1819458007812 275.8307189941406
284 278.0140991210938 276.8044128417969 276.1821594238281 275.8305053710938
285 278.0120544433594 276.8055114746094 276.1824340820312 275.8302307128906
286 278.0097351074219 276.8065185546875 276.1825256347656 275.8297424316406
287 278.0074462890625 276.8074951171875 276.1826782226562 275.8292846679688
288 278.0051879882812 276.8084411621094 276.1827697753906 275.828857421875
289 278.0026550292969 276.8092346191406 276.1828002929688 275.8283386230469
290 278.0003051757812 276.8101196289062 276.1827697753906 275.8276977539062
291 277.997802734375 276.8109741210938 276.1827392578125 275.8270568847656
292 277.9953308105469 276.8117065429688 276.1826477050781 275.8263854980469
293 277.9927062988281 276.8123779296875 276.1825256347656 275.8256530761719
294 277.9902954101562 276.8130798339844 276.182373046875 275.8247680664062
295 277.9877319335938 276.8136901855469 276.18212890625 275.8239440917969
296 277.9851379394531 276.8142700195312 276.1819152832031 275.8229675292969
297 277.9825439453125 276.8147583007812 276.181640625 275.8219299316406
298 277.9798278808594 276.8152160644531 276.1813659667969 275.8209533691406
299 277.9771118164062 276.8156127929688 276.1809692382812 275.8198547363281
300 277.974365234375 276.8160095214844 276.1805725097656 275.8187255859375
301 277.9716491699219 276.8162536621094 276.1800537109375 275.8175048828125
302 277.9689025878906 276.8164978027344 276.1795959472656 275.8162231445312
303 277.9659729003906 276.8166809082031 276.1789245605469 275.8148803710938
304 277.9632873535156 276.8168029785156 276.1782836914062 275.8134765625
305 277.9603881835938 276.8169250488281 276.1777038574219 275.8121032714844
306 277.9577026367188 276.8170166015625 276.1770935058594 275.8106689453125
307 277.9547729492188 276.8170166015625 276.1764526367188 275.8092651367188
308 277.9520263671875 276.8170471191406 276.17578125 275.8078308105469
309 277.9491577148438 276.8170166015625 276.1751403808594 275.8064270019531
310 277.9462280273438 276.8169555664062 276.1743469238281 275.804931640625
311 277.9433898925781 276.8168640136719 276.1736145019531 275.803466796875
312 277.9407348632812 276.8168334960938 276.1729125976562 275.8020324707031
313 277.9378662109375 276.8168029785156 276.1721496582031 275.8007202148438
314 277.9352722167969 276.8167724609375 276.1714782714844 275.7994384765625
315 277.9324951171875 276.816650390625 276.1708374023438 275.7981262207031
316 277.9297485351562 276.8164978027344 276.1700744628906 275.7966918945312
317 277.9270935058594 276.8164367675781 276.1693725585938 275.7954711914062
318 277.9244079589844 276.8162841796875 276.1687622070312 275.7942504882812
319 277.9220581054688 276.8162841796875 276.1681213378906 275.793212890625
320 277.9195556640625 276.8162841796875 276.1676025390625 275.7921752929688
321 277.917236328125 276.8163146972656 276.1670227050781 275.7911987304688
322 277.9148864746094 276.8163757324219 276.1665344238281 275.7904052734375
323 277.9126281738281 276.8164672851562 276.1661376953125 275.7896728515625
324 277.9104309082031 276.8166198730469 276.1656494140625 275.7890319824219
325 277.9083862304688 276.8168334960938 276.1653747558594 275.7884826660156
326 277.9064025878906 276.8170776367188 276.1651000976562 275.7879943847656
327 277.9043884277344 276.8172607421875 276.1648864746094 275.7876586914062
328 277.9024963378906 276.8175964355469 276.1647644042969 275.7874145507812
329 277.9006652832031 276.8179016113281 276.1646423339844 275.7872619628906
330 277.8988952636719 276.8182983398438 276.1646118164062 275.7872314453125
331 277.8972473144531 276.8187255859375 276.1646423339844 275.7873229980469
332 277.8956909179688 276.8192749023438 276.1647338867188 275.78759765625
333 277.8941650390625 276.8198852539062 276.1649780273438 275.7879333496094
334 277.8928527832031 276.8205871582031 276.165283203125 275.7884521484375
335 277.8916320800781 276.8213500976562 276.1656799316406 275.7890930175781
336 277.8904113769531 276.8220825195312 276.1660766601562 275.7897338867188
337 277.8892211914062 276.8228759765625 276.1666259765625 275.79052734375
338 277.8881530761719 276.8237609863281 276.1672668457031 275.7914733886719
339 277.8871765136719 276.8246765136719 276.1678466796875 275.79248046875
340 277.88623046875 276.8257141113281 276.1686096191406 275.7936096191406
341 277.8854370117188 276.8268432617188 276.16943359375 275.7948303222656
342 277.884765625 276.8279724121094 276.1702575683594 275.796142578125
343 277.8841247558594 276.8291625976562 276.1711730957031 275.7975463867188
344 277.8834228515625 276.8303833007812 276.1720581054688 275.7988891601562
345 277.8827819824219 276.83154296875 276.1729125976562 275.80029296875
346 277.8822326660156 276.8327026367188 276.1739501953125 275.8018188476562
347 277.8816223144531 276.833984375 276.1750183105469 275.8033142089844
348 277.8811950683594 276.8352661132812 276.1760559082031 275.8048400878906
349 277.8807373046875 276.8366088867188 276.1771240234375 275.8064575195312
350 277.8803405761719 276.837890625 276.1781005859375 275.8080749511719
351 277.8800354003906 276.8392333984375 276.1791381835938 275.8097229003906
352 277.8797302246094 276.8406066894531 276.1803894042969 275.8114624023438
353 277.8795166015625 276.8419494628906 276.1815795898438 275.8132019042969
354 277.8792114257812 276.8433532714844 276.1826477050781 275.8149108886719
355 277.8790588378906 276.8447570800781 276.1836853027344 275.8165893554688
356 277.8787536621094 276.8460998535156 276.1846618652344 275.8182067871094
357 277.8785400390625 276.8475341796875 276.1857604980469 275.8200073242188
358 277.8785095214844 276.8491516113281 276.1870727539062 275.8219604492188
359 277.8782958984375 276.8504028320312 276.1880798339844 275.8234558105469
360 277.8596801757812 276.8411254882812 276.181884765625 275.814208984375
361 277.871337890625 276.8471374511719 276.1843872070312 275.8220825195312
362 277.8738098144531 276.8504028320312 276.1872863769531 275.8249816894531
363 277.8759765625 276.853759765625 276.1902160644531 275.8285522460938
364 277.8762512207031 276.8556213378906 276.1915893554688 275.83056640625
365 277.8764038085938 276.857177734375 276.1927185058594 275.8323669433594
366 277.8765258789062 276.8586730957031 276.1939086914062 275.8341369628906
367 277.8766174316406 276.8600769042969 276.1948547363281 275.8357849121094
368 277.8764343261719 276.8612976074219 276.1957397460938 275.8373718261719
369 277.8763732910156 276.8625793457031 276.1965942382812 275.8389587402344
370 277.8761901855469 276.8638000488281 276.1973876953125 275.8404846191406
371 277.8760070800781 276.8650207519531 276.1981201171875 275.8418579101562
372 277.8757019042969 276.8662109375 276.1987915039062 275.8433532714844
373 277.875 276.8668823242188 276.1992797851562 275.8442077636719
374 277.8749389648438 276.8680725097656 276.1997985839844 275.8457336425781
375 277.8742065429688 276.8687133789062 276.2003173828125 275.8465270996094
376 277.8743286132812 276.8699340820312 276.2008972167969 275.8480529785156
377 277.873779296875 276.8706970214844 276.201416015625 275.8489685058594
378 277.8734741210938 276.8716735839844 276.2019348144531 275.8502502441406
379 277.8731994628906 276.87255859375 276.2025146484375 275.851318359375
380 277.872802734375 276.87353515625 276.2030334472656 275.8524475097656
381 277.8724365234375 276.8743591308594 276.2034606933594 275.8534545898438
382 277.8719177246094 276.875244140625 276.2039489746094 275.8544311523438
383 277.8715209960938 276.8759460449219 276.2041931152344 275.8551330566406
384 277.87109375 276.8768005371094 276.2046508789062 275.8561706542969
385 277.8704833984375 276.87744140625 276.2049560546875 275.8569641113281
386 277.8702087402344 276.8781433105469 276.205078125 275.8575744628906
387 277.8692626953125 276.878662109375 276.2054443359375 275.858154296875
388 277.8687438964844 276.87939453125 276.2056579589844 275.85888671875
389 277.8682250976562 276.8799133300781 276.2057800292969 275.8593444824219
390 277.8675842285156 276.880615234375 276.2060852050781 275.8600158691406
391 277.8669738769531 276.881103515625 276.2062072753906 275.8603820800781
392 277.8663940429688 276.8817138671875 276.2064514160156 275.8609313964844
393 277.8656311035156 276.882080078125 276.2063903808594 275.861083984375
394 277.8650207519531 276.8826904296875 276.2066650390625 275.8616333007812
395 277.8643188476562 276.8832092285156 276.206787109375 275.8619384765625
396 277.8633422851562 276.8836059570312 276.2068176269531 275.8621826171875
397 277.8630676269531 276.8841552734375 276.2068481445312 275.8624267578125
398 277.8619995117188 276.8843688964844 276.2066650390625 275.8622741699219
399 277.8612976074219 276.8848571777344 276.2066955566406 275.8623962402344
400 277.8603210449219 276.8851318359375 276.2066345214844 275.8623657226562
401 277.8597717285156 276.8855895996094 276.2066040039062 275.8623657226562
402 277.8587341308594 276.8858032226562 276.2064514160156 275.8621826171875
403 277.8580932617188 276.8861999511719 276.206298828125 275.8620300292969
404 277.8570251464844 276.886474609375 276.2063598632812 275.8620300292969
405 277.8564453125 276.8868103027344 276.2060852050781 275.8616333007812
406 277.855224609375 276.886962890625 276.2059936523438 275.8614196777344
407 277.8544616699219 276.8870849609375 276.2055358886719 275.86083984375
408 277.853515625 276.8872985839844 276.2053527832031 275.8604736328125
409 277.852294921875 276.8873291015625 276.2049865722656 275.85986328125
410 277.8516235351562 276.8876342773438 276.2048034667969 275.8594055175781
411 277.850341796875 276.8877868652344 276.2047424316406 275.8591918945312
412 277.8497619628906 276.8881225585938 276.2044067382812 275.8586120605469
413 277.8482666015625 276.8877563476562 276.2036437988281 275.8573608398438
