"r_mtz_tcs"
"Iteration" "mtz_tcs"
("Iteration" "mtz_tcs(rce)" "mtz_tcs(rcf)")
1 255.5455780029297 255.5450439453125
2 256.4994201660156 256.4664306640625
3 258.53466796875 258.2424926757812
4 265.8958435058594 264.9607238769531
5 267.4036560058594 266.7948608398438
6 270.44970703125 273.135009765625
7 270.439208984375 274.0989990234375
8 270.4550476074219 274.5128784179688
9 271.0063171386719 274.8083190917969
10 271.51416015625 275.0313415527344
11 271.8499755859375 275.1775512695312
12 272.2257690429688 275.28076171875
13 273.390625 276.059814453125
14 273.4266357421875 276.2981567382812
15 273.4051208496094 276.3356628417969
16 273.2597045898438 276.8078002929688
17 273.5410766601562 276.9105529785156
18 273.7138366699219 276.9866333007812
19 273.8569641113281 277.0899353027344
20 273.9795532226562 277.2421264648438
21 274.0283813476562 277.3287658691406
22 274.0956726074219 277.4238891601562
23 274.1377868652344 277.5153503417969
24 274.1715698242188 277.5978393554688
25 274.197509765625 277.6978149414062
26 274.1872863769531 277.7439270019531
27 274.1840209960938 277.8116149902344
28 274.1580505371094 277.8232421875
29 274.1314392089844 277.8023986816406
30 274.0832824707031 277.7474365234375
31 274.0297546386719 277.6180725097656
32 273.9677429199219 277.4722290039062
33 273.9082946777344 277.3310546875
34 273.8237915039062 277.2391967773438
35 273.769775390625 277.0090637207031
36 273.7142333984375 276.8311157226562
37 273.657958984375 276.6726989746094
38 273.7212219238281 276.6863098144531
39 273.7109680175781 276.6752014160156
40 273.6841125488281 276.5643005371094
41 273.6685791015625 276.4945983886719
42 273.6559448242188 276.4320068359375
43 273.6433410644531 276.3471069335938
44 273.6361999511719 276.2739562988281
45 273.6269836425781 276.2164306640625
46 273.6169128417969 276.1600646972656
47 273.6190185546875 276.1159973144531
48 273.6255798339844 276.080810546875
49 273.6328735351562 276.0519104003906
50 273.6371459960938 276.0304260253906
51 273.6437377929688 276.0083618164062
52 273.6549987792969 275.9837951660156
53 273.6618957519531 275.9713439941406
54 273.6689758300781 275.9548950195312
55 273.6770629882812 275.9411315917969
56 273.6849060058594 275.9279174804688
57 273.6940612792969 275.9172058105469
58 273.7019653320312 275.9065551757812
59 273.711669921875 275.8977661132812
60 273.7210998535156 275.8904418945312
61 273.732177734375 275.8835754394531
62 273.7395629882812 275.8785095214844
63 273.7510375976562 275.8706970214844
64 273.7611694335938 275.8681945800781
65 273.7686157226562 275.86669921875
66 273.7770080566406 275.8619384765625
67 273.7839050292969 275.8594665527344
68 273.7894592285156 275.8572082519531
69 273.7936706542969 275.8548583984375
70 273.7952575683594 275.8515625
71 273.796142578125 275.8473510742188
72 273.7962951660156 275.8450012207031
73 273.7931823730469 275.8395080566406
74 273.7922973632812 275.8365173339844
75 273.7886047363281 275.8320007324219
76 273.7852172851562 275.8261413574219
77 273.7840576171875 275.8219604492188
78 273.7829284667969 275.817138671875
79 273.7854919433594 275.8127746582031
80 273.7884521484375 275.8089904785156
81 273.7930603027344 275.8060913085938
82 273.7993469238281 275.8040466308594
83 273.8067626953125 275.8022766113281
84 273.81103515625 275.80078125
85 273.8184509277344 275.7995300292969
86 273.8357238769531 275.8014526367188
87 273.8416748046875 275.8016052246094
88 273.8589477539062 275.8050231933594
89 273.870849609375 275.80810546875
90 273.8829345703125 275.8108520507812
91 273.8949584960938 275.8143615722656
92 273.9070434570312 275.8179626464844
93 273.9185485839844 275.8206176757812
94 273.931640625 275.8251647949219
95 273.9458312988281 275.8332214355469
96 273.9545288085938 275.8352966308594
97 273.966796875 275.8391723632812
98 273.9798583984375 275.844482421875
99 273.9942321777344 275.8514404296875
100 274.0074157714844 275.8580627441406
101 274.0215759277344 275.8652954101562
102 274.0366821289062 275.8732604980469
103 274.0527038574219 275.8821105957031
104 274.0702514648438 275.8927307128906
105 274.0868835449219 275.90234375
106 274.1052856445312 275.9129333496094
107 274.1248779296875 275.9244995117188
108 274.1455993652344 275.9371337890625
109 274.1667175292969 275.9499816894531
110 274.188720703125 275.9633483886719
111 274.2115173339844 275.9775390625
112 274.2342834472656 275.9921875
113 274.2574768066406 276.0071716308594
114 274.2807006835938 276.0223999023438
115 274.3038024902344 276.0380249023438
116 274.3278503417969 276.0555725097656
117 274.3484497070312 276.070556640625
118 274.3709411621094 276.087646484375
119 274.3923645019531 276.1042175292969
120 274.4110717773438 276.1185302734375
121 274.4298400878906 276.1334228515625
122 274.447998046875 276.1482543945312
123 274.4656982421875 276.1632080078125
124 274.4823608398438 276.1779479980469
125 274.5000915527344 276.1939697265625
126 274.5159912109375 276.2088623046875
127 274.5290222167969 276.2214050292969
128 274.5435180664062 276.2355346679688
129 274.5555114746094 276.2473754882812
130 274.5675659179688 276.2593688964844
131 274.5791931152344 276.2713317871094
132 274.5901489257812 276.283203125
133 274.6004333496094 276.2943420410156
134 274.6102600097656 276.3052673339844
135 274.619873046875 276.3157348632812
136 274.6292724609375 276.3260498046875
137 274.6385803222656 276.3361511230469
138 274.6484375 276.3472595214844
139 274.6564331054688 276.3564758300781
140 274.6653747558594 276.3667297363281
141 274.6736450195312 276.376220703125
142 274.6818542480469 276.3854064941406
143 274.6891479492188 276.3935546875
144 274.6963195800781 276.4017028808594
145 274.7037658691406 276.409912109375
146 274.7113952636719 276.4181518554688
147 274.7189331054688 276.42626953125
148 274.7267761230469 276.4346313476562
149 274.7339172363281 276.4424438476562
150 274.7410583496094 276.4501953125
151 274.7481994628906 276.4579162597656
152 274.7554321289062 276.4654846191406
153 274.7625122070312 276.4729614257812
154 274.7690734863281 276.4800720214844
155 274.7760009765625 276.4870910644531
156 274.7828979492188 276.4941101074219
157 274.7896728515625 276.5010681152344
158 274.7964782714844 276.5080261230469
159 274.8032531738281 276.5149230957031
160 274.8096313476562 276.5216979980469
161 274.8159484863281 276.5282287597656
162 274.8223571777344 276.5346984863281
163 274.829833984375 276.5419616699219
164 274.8356323242188 276.5483703613281
165 274.8413696289062 276.5543823242188
166 274.8472900390625 276.5604248046875
167 274.853515625 276.566650390625
168 274.8593444824219 276.5727233886719
169 274.865478515625 276.5788879394531
170 274.8717041015625 276.5852355957031
171 274.8776245117188 276.5914916992188
172 274.8842163085938 276.5983581542969
173 274.8907165527344 276.604736328125
174 274.89453125 276.60986328125
175 274.9009399414062 276.6158142089844
176 274.9075317382812 276.6228332519531
177 274.9117431640625 276.6286010742188
178 274.91796875 276.6343688964844
179 274.9224243164062 276.6403503417969
180 274.9292297363281 276.6470031738281
181 274.9342956542969 276.6530151367188
182 274.9375610351562 276.658203125
183 274.9427490234375 276.6636962890625
184 274.94775390625 276.6702270507812
185 274.9495849609375 276.6748657226562
186 274.9543151855469 276.6805419921875
187 274.9555053710938 276.6851501464844
188 274.9576416015625 276.6893615722656
189 274.9573974609375 276.693359375
190 274.9562683105469 276.6961669921875
191 274.9559631347656 276.699462890625
192 274.9537048339844 276.7023315429688
193 274.9491577148438 276.7041320800781
194 274.9436950683594 276.7047424316406
195 274.938720703125 276.7057800292969
196 274.931640625 276.7063598632812
197 274.9233093261719 276.706298828125
198 274.9131164550781 276.7046813964844
199 274.90283203125 276.7033081054688
200 274.8910217285156 276.7011413574219
201 274.8768615722656 276.6983642578125
202 274.8620910644531 276.6956787109375
203 274.8443298339844 276.6908569335938
204 274.826904296875 276.6861267089844
205 274.8106689453125 276.6818542480469
206 274.7928771972656 276.6772766113281
207 274.77392578125 276.6716918945312
208 274.7583312988281 276.6673278808594
209 274.7430419921875 276.6629943847656
210 274.7280883789062 276.6595153808594
211 274.712646484375 276.6556091308594
212 274.6992797851562 276.652587890625
213 274.6856384277344 276.6497497558594
214 274.6724548339844 276.6471862792969
215 274.6591491699219 276.6446228027344
216 274.6461486816406 276.642578125
217 274.6337585449219 276.6410827636719
218 274.6214904785156 276.6393737792969
219 274.609619140625 276.6380615234375
220 274.5980224609375 276.6368103027344
221 274.5870666503906 276.6363830566406
222 274.5770568847656 276.6361999511719
223 274.5673217773438 276.6358642578125
224 274.5590209960938 276.6362915039062
225 274.5509643554688 276.6369018554688
226 274.5433044433594 276.637451171875
227 274.5370178222656 276.6390075683594
228 274.5320434570312 276.6410217285156
229 274.5272521972656 276.6428527832031
230 274.52294921875 276.6451110839844
231 274.5185241699219 276.6470031738281
232 274.5153198242188 276.6496887207031
233 274.5133361816406 276.6528015136719
234 274.5114440917969 276.6559143066406
235 274.5103149414062 276.6592712402344
236 274.5082702636719 276.6623840332031
237 274.5074462890625 276.6661682128906
238 274.5079345703125 276.669921875
239 274.5084838867188 276.6736755371094
240 274.5083923339844 276.6773986816406
241 274.5092468261719 276.6812744140625
242 274.5112915039062 276.6853942871094
243 274.5137634277344 276.6896057128906
244 274.516357421875 276.6940307617188
245 274.518310546875 276.6984252929688
246 274.5209045410156 276.7027893066406
247 274.5241394042969 276.7073059082031
248 274.5271301269531 276.711669921875
249 274.5294799804688 276.7163696289062
250 274.5325622558594 276.7211608886719
251 274.5354919433594 276.7251892089844
252 274.5384216308594 276.7293701171875
253 274.5404052734375 276.7340698242188
254 274.5428466796875 276.7386169433594
255 274.5451354980469 276.7423095703125
256 274.5474243164062 276.7461547851562
257 274.5494995117188 276.7514343261719
258 274.5512084960938 276.7550354003906
259 274.5531921386719 276.7586669921875
260 274.5548706054688 276.7622985839844
261 274.55615234375 276.7656860351562
262 274.5574951171875 276.7702941894531
263 274.5588989257812 276.7741088867188
264 274.5601806640625 276.77734375
265 274.5610961914062 276.7803649902344
266 274.5620422363281 276.7848205566406
267 274.5628051757812 276.7882080078125
268 274.5638732910156 276.7912292480469
269 274.5644836425781 276.7943115234375
270 274.5650329589844 276.7984008789062
271 274.5656127929688 276.8019714355469
272 274.5662841796875 276.8049011230469
273 274.5666198730469 276.8080139160156
274 274.5668334960938 276.8117370605469
275 274.5671081542969 276.815185546875
276 274.5671691894531 276.8179931640625
277 274.5668640136719 276.8205871582031
278 274.56689453125 276.8246765136719
279 274.5668029785156 276.8276672363281
280 274.5664978027344 276.8301391601562
281 274.5661315917969 276.832763671875
282 274.56591796875 276.8367309570312
283 274.5654907226562 276.8397521972656
284 274.5649108886719 276.8421325683594
285 274.5640563964844 276.8445739746094
286 274.5635986328125 276.8483581542969
287 274.5628662109375 276.8511657714844
288 274.5618896484375 276.8533935546875
289 274.5609436035156 276.8555908203125
290 274.5602111816406 276.8591613769531
291 274.5593566894531 276.8619689941406
292 274.558349609375 276.8639831542969
293 274.5572204589844 276.8663024902344
294 274.5565795898438 276.8697509765625
295 274.5558166503906 276.87255859375
296 274.5548400878906 276.8745422363281
297 274.5538635253906 276.8768310546875
298 274.5531921386719 276.8802490234375
299 274.5524597167969 276.8829040527344
300 274.5515747070312 276.8850402832031
301 274.5506896972656 276.8871765136719
302 274.5501708984375 276.8906555175781
303 274.5494995117188 276.8933410644531
304 274.5487670898438 276.8954772949219
305 274.5480346679688 276.8976745605469
306 274.547607421875 276.9011840820312
307 274.5470886230469 276.9038391113281
308 274.5466003417969 276.9060668945312
309 274.546142578125 276.9083251953125
310 274.5458374023438 276.9119567871094
311 274.5455627441406 276.9148559570312
312 274.5452575683594 276.9169921875
313 274.5448608398438 276.9192504882812
314 274.544677734375 276.922607421875
315 274.5444641113281 276.9255676269531
316 274.5443725585938 276.9278869628906
317 274.5442810058594 276.9302368164062
318 274.5443725585938 276.9337463378906
319 274.5444030761719 276.9368896484375
320 274.5444641113281 276.9393005371094
321 274.5445251464844 276.9417724609375
322 274.5448608398438 276.9453125
323 274.5452270507812 276.9488830566406
324 274.5455017089844 276.9512939453125
325 274.5457458496094 276.9537353515625
326 274.5463562011719 276.95751953125
327 274.5468139648438 276.9609069824219
328 274.5472106933594 276.9635009765625
329 274.5476989746094 276.96630859375
330 274.5484008789062 276.9707641601562
331 274.5492248535156 276.9734497070312
332 274.5498657226562 276.9759826660156
333 274.5505981445312 276.9788818359375
334 274.5513916015625 276.9829711914062
335 274.5522766113281 276.9862976074219
336 274.5531311035156 276.9885559082031
337 274.5539245605469 276.9915466308594
338 274.5550231933594 276.9956359863281
339 274.5560302734375 276.9992980957031
340 274.5568542480469 277.0016174316406
341 274.5578918457031 277.0045166015625
342 274.5591735839844 277.0099792480469
343 274.5601501464844 277.0120544433594
344 274.5611877441406 277.0146484375
345 274.5621643066406 277.0175476074219
346 274.5634460449219 277.0231018066406
347 274.5644226074219 277.0250549316406
348 274.5656127929688 277.0277404785156
349 274.5668640136719 277.0317687988281
350 274.5679321289062 277.0344543457031
351 274.5691223144531 277.0380859375
352 274.5705261230469 277.0421447753906
353 274.5713500976562 277.0436706542969
354 274.5727233886719 277.0475769042969
355 274.5738525390625 277.0516662597656
356 274.5746765136719 277.0534057617188
357 274.5761108398438 277.0568542480469
358 274.577392578125 277.0617370605469
359 274.5785522460938 277.0642700195312
360 274.5796813964844 277.0669250488281
361 274.5804748535156 277.0686645507812
362 274.5821838378906 277.0738525390625
363 274.5829467773438 277.0762634277344
364 274.5842590332031 277.0795288085938
365 274.5850219726562 277.0810852050781
366 274.5867004394531 277.0860290527344
367 274.5875854492188 277.0887451171875
368 274.5891723632812 277.0923767089844
369 274.5899658203125 277.0942993164062
370 274.5914001464844 277.0984802246094
371 274.5921020507812 277.1006164550781
372 274.5938415527344 277.1048583984375
373 274.5946960449219 277.106689453125
374 274.5961608886719 277.1108703613281
375 274.5970153808594 277.1134948730469
376 274.5985717773438 277.1170043945312
377 274.599365234375 277.1187744140625
378 274.6009216308594 277.1229553222656
379 274.6016845703125 277.1254577636719
380 274.6031799316406 277.1287841796875
381 274.6039428710938 277.1304931640625
382 274.6055297851562 277.1348571777344
383 274.6063232421875 277.1373291015625
384 274.6077270507812 277.1404418945312
385 274.6085205078125 277.14208984375
386 274.610107421875 277.1464233398438
387 274.6108703613281 277.1484985351562
388 274.6123046875 277.1516723632812
389 274.6141357421875 277.1557312011719
390 274.6150512695312 277.157958984375
391 274.6161804199219 277.1608581542969
392 274.6174011230469 277.1633911132812
393 274.61865234375 277.1659851074219
394 274.6198120117188 277.1689147949219
395 274.6209716796875 277.1719360351562
396 274.6221618652344 277.17431640625
397 274.6222229003906 277.1738891601562
398 274.6242980957031 277.1791381835938
399 274.6257629394531 277.182861328125
400 274.6268005371094 277.1845703125
401 274.6280212402344 277.1868286132812
402 274.6294555664062 277.1902465820312
403 274.6305236816406 277.1929016113281
404 274.6316223144531 277.1948852539062
405 274.6327819824219 277.1970520019531
406 274.634033203125 277.1999816894531
407 274.63525390625 277.2026672363281
408 274.636474609375 277.2048645019531
409 274.6376342773438 277.206787109375
410 274.6389465332031 277.2096862792969
411 274.64013671875 277.2122497558594
412 274.6412658691406 277.2142028808594
413 274.6424560546875 277.2162475585938
414 274.6438293457031 277.2190246582031
415 274.64501953125 277.2216186523438
416 274.6463012695312 277.2235717773438
417 274.6475219726562 277.2255554199219
418 274.6489868164062 277.2281494140625
419 274.6502075195312 277.2307739257812
420 274.6514282226562 277.2326049804688
421 274.6527709960938 277.2344665527344
422 274.6543579101562 277.2372436523438
423 274.6555480957031 277.2395935058594
424 274.6567687988281 277.2413940429688
425 274.6581115722656 277.2432556152344
426 274.6596069335938 277.245849609375
427 274.6609191894531 277.2481079101562
428 274.6621704101562 277.2498779296875
429 274.6632995605469 277.2515563964844
430 274.6648254394531 277.2537536621094
431 274.6661987304688 277.2561950683594
432 274.6674499511719 277.2577514648438
433 274.6688232421875 277.2595520019531
434 274.6703186035156 277.2618103027344
435 274.671630859375 277.2638549804688
436 274.6729125976562 277.2654418945312
437 274.6743469238281 277.2672119140625
438 274.6758422851562 277.2691955566406
439 274.6771850585938 277.2713012695312
440 274.6785583496094 277.2729187011719
441 274.6799621582031 277.2744750976562
442 274.6815185546875 277.2764892578125
443 274.6829223632812 277.2784729003906
444 274.6843872070312 277.2800903320312
445 274.6857299804688 277.2815856933594
446 274.6874084472656 277.2836608886719
447 274.6887512207031 277.2854309082031
448 274.6901245117188 277.286865234375
449 274.6915588378906 277.288330078125
450 274.6931457519531 277.2901306152344
451 274.6946105957031 277.2920227050781
452 274.6960754394531 277.2935180664062
453 274.6974487304688 277.2947692871094
454 274.698974609375 277.2965087890625
455 274.7006225585938 277.2984008789062
456 274.7019653320312 277.2996215820312
457 274.7033996582031 277.3008728027344
458 274.7049865722656 277.3026123046875
459 274.70654296875 277.3042907714844
460 274.7080383300781 277.3055419921875
461 274.7095031738281 277.3067932128906
462 274.7112121582031 277.3084411621094
463 274.7127685546875 277.3099670410156
464 274.7142944335938 277.3111877441406
465 274.7158203125 277.3125
466 274.717529296875 277.3140258789062
467 274.7193298339844 277.3156433105469
468 274.7207641601562 277.3167724609375
469 274.7223510742188 277.3179626464844
470 274.7240600585938 277.3194274902344
471 274.7257080078125 277.3208618164062
472 274.727294921875 277.3219604492188
473 274.7288513183594 277.3231506347656
474 274.7305603027344 277.3245239257812
475 274.7322387695312 277.3258666992188
476 274.7337951660156 277.3269348144531
477 274.7354125976562 277.3280029296875
478 274.7371520996094 277.3292846679688
479 274.7388305664062 277.33056640625
480 274.7404479980469 277.3315734863281
481 274.7421875 277.3326721191406
482 274.7440490722656 277.3340759277344
483 274.7456665039062 277.3352661132812
484 274.7472839355469 277.336181640625
485 274.7489929199219 277.337158203125
486 274.7507019042969 277.3383483886719
487 274.7525634765625 277.3395690917969
488 274.7542114257812 277.3405151367188
489 274.7559509277344 277.341552734375
490 274.7577514648438 277.3426208496094
491 274.7597045898438 277.3439636230469
492 274.7612915039062 277.3448486328125
493 274.7630004882812 277.3457336425781
494 274.7648315429688 277.3467712402344
495 274.7666625976562 277.3478393554688
496 274.7684326171875 277.3487854003906
497 274.7701721191406 277.3497009277344
498 274.7719116210938 277.3506469726562
499 274.7737121582031 277.3516540527344
500 274.7754211425781 277.3525085449219
