"report-tcs-rfile"
"Iteration" "report-tcs"
("Iteration" "report-tcs(tc1)" "report-tcs(tc2)" "report-tcs(tc3)" "report-tcs(tc4)" "report-tcs(tc5)" "report-tcs(tc6)")
37 238.8508911132813 241.7974700927734 244.7246246337891 254.5578918457031 255.3599700927734 257.9932861328125
38 238.8524017333984 241.7951965332031 244.7244720458984 254.6321258544922 255.3786926269531 258.0086059570313
39 238.8495025634766 241.7764434814453 244.7017059326172 254.6786346435547 255.3764953613281 258.0323791503906
40 238.8486328125 241.7672729492188 244.6935272216797 254.7246704101563 255.3665313720703 258.03466796875
41 238.8498077392578 241.7630920410156 244.6910095214844 254.7628479003906 255.349853515625 258.029052734375
42 238.8487854003906 241.7530670166016 244.6826782226563 254.7927398681641 255.3322601318359 258.0382385253906
43 238.8482055664063 241.7472229003906 244.6793823242188 254.8155212402344 255.3052825927734 258.0276184082031
44 238.8488616943359 241.7437744140625 244.6807861328125 254.837646484375 255.2829284667969 258.0305480957031
45 238.8483276367188 241.7393951416016 244.6821594238281 254.8529968261719 255.2566223144531 258.0263977050781
46 238.8489532470703 241.7384338378906 244.6882171630859 254.8666229248047 255.232421875 258.0242919921875
47 238.8495788574219 241.739013671875 244.6948699951172 254.8712768554688 255.2003784179688 258.0043640136719
48 238.8481903076172 241.7335357666016 244.6972351074219 254.8764038085938 255.1827697753906 258.0171508789063
49 238.8470306396484 241.7310791015625 244.7019805908203 254.8702697753906 255.1454467773438 257.9990234375
50 238.8466339111328 241.7285003662109 244.7069244384766 254.8649139404297 255.1161346435547 257.9884033203125
51 238.8468780517578 241.7263793945313 244.7135467529297 254.8570251464844 255.0885925292969 257.9779663085938
52 238.8470001220703 241.7244110107422 244.719482421875 254.8462066650391 255.0610504150391 257.9675903320313
53 238.8474884033203 241.7235107421875 244.7274780273438 254.8348083496094 255.0357208251953 257.9575805664063
54 238.8472747802734 241.7222900390625 244.7345123291016 254.8209381103516 255.0110015869141 257.9474792480469
55 238.8475646972656 241.7232818603516 244.7436676025391 254.8047790527344 254.9854583740234 257.9300842285156
56 238.8464508056641 241.7211761474609 244.750732421875 254.7940673828125 254.9712677001953 257.9308776855469
57 238.8468780517578 241.7221527099609 244.7605895996094 254.7769775390625 254.9486389160156 257.9222717285156
58 238.8458404541016 241.7173309326172 244.7630004882813 254.7542114257813 254.9228057861328 257.9069213867188
59 238.8464660644531 241.7177276611328 244.7720794677734 254.7382354736328 254.905517578125 257.8991088867188
60 238.8472900390625 241.7201080322266 244.7838592529297 254.7259368896484 254.8937225341797 257.896728515625
61 238.8472290039063 241.7201690673828 244.7924041748047 254.7102813720703 254.8799591064453 257.8919372558594
62 238.8470458984375 241.7203063964844 244.8006134033203 254.6946563720703 254.8667602539063 257.8869323730469
63 238.8464202880859 241.7187957763672 244.8064117431641 254.6766204833984 254.8518371582031 257.8792114257813
64 238.8465576171875 241.7195281982422 244.8148803710938 254.6620025634766 254.8411102294922 257.8748779296875
65 238.8466339111328 241.7196960449219 244.8222961425781 254.6472625732422 254.8308868408203 257.8709411621094
66 238.8464965820313 241.7189483642578 244.8283386230469 254.6312713623047 254.8197784423828 257.8653564453125
67 238.8465576171875 241.7181854248047 244.8338623046875 254.6155853271484 254.8091735839844 257.8597717285156
68 238.8467559814453 241.7183074951172 244.8403472900391 254.6018981933594 254.8009338378906 257.8560791015625
69 238.8466796875 241.7182769775391 244.8463439941406 254.5886688232422 254.7933502197266 257.8528137207031
70 238.8468170166016 241.7190704345703 244.8531036376953 254.5770111083984 254.7875061035156 257.8509521484375
71 238.8467864990234 241.7188720703125 244.8583679199219 254.5648956298828 254.7812957763672 257.8485412597656
72 238.8467864990234 241.7187957763672 244.8635711669922 254.5532684326172 254.7755432128906 257.845947265625
73 238.8466491699219 241.7186126708984 244.8682556152344 254.5420837402344 254.7702178955078 257.8435668945313
74 238.8463287353516 241.7176666259766 244.8715209960938 254.5301208496094 254.7639007568359 257.8399658203125
75 238.8465423583984 241.7180633544922 244.8763885498047 254.5208740234375 254.7601776123047 257.8385620117188
76 238.8466644287109 241.7179260253906 244.8802490234375 254.5113220214844 254.7562408447266 257.8369140625
77 238.8467254638672 241.7177276611328 244.8838348388672 254.5022888183594 254.7525177001953 257.8351745605469
78 238.8465576171875 241.71728515625 244.8866882324219 254.4932708740234 254.7485656738281 257.8331298828125
79 238.8465576171875 241.7172241210938 244.8899078369141 254.4854125976563 254.7456665039063 257.8318786621094
80 238.8466186523438 241.7171783447266 244.8929595947266 254.4779968261719 254.7430419921875 257.8307495117188
81 238.8466644287109 241.7171478271484 244.8957214355469 254.4711608886719 254.7407836914063 257.8298645019531
82 238.8465881347656 241.7168426513672 244.8979949951172 254.4643402099609 254.7383270263672 257.8286743164063
83 238.8466186523438 241.7167663574219 244.900390625 254.4583740234375 254.7364807128906 257.8279418945313
84 238.8465881347656 241.716552734375 244.9023742675781 254.4525451660156 254.7345886230469 257.8270568847656
85 238.8466186523438 241.7164154052734 244.9042816162109 254.4472503662109 254.7330169677734 257.8264770507813
86 238.8466186523438 241.71630859375 244.9060211181641 254.4423370361328 254.7316436767578 257.8259582519531
87 238.8466186523438 241.7162017822266 244.9075775146484 254.4376831054688 254.7303314208984 257.825439453125
88 238.8466186523438 241.716064453125 244.9089813232422 254.4334564208984 254.7291564941406 257.8249816894531
89 238.8466186523438 241.7159271240234 244.9102783203125 254.4294586181641 254.7280731201172 257.8245239257813
90 238.8466186523438 241.7157897949219 244.9114227294922 254.42578125 254.7271575927734 257.8241577148438
91 238.8466186523438 241.7156829833984 244.9124755859375 254.4223785400391 254.7262725830078 257.8238525390625
92 238.8466186523438 241.7155456542969 244.9133911132813 254.4192352294922 254.7255401611328 257.8235778808594
93 238.8466491699219 241.7154846191406 244.9142913818359 254.4164733886719 254.7249908447266 257.8233947753906
94 238.8466186523438 241.7153625488281 244.9150085449219 254.4138031005859 254.7243499755859 257.8231811523438
95 238.8466186523438 241.7152557373047 244.9156951904297 254.4113922119141 254.7238311767578 257.8230285644531
96 238.8466491699219 241.7151489257813 244.9163208007813 254.4092559814453 254.7234497070313 257.8229675292969
97 238.8466186523438 241.7150268554688 244.9167938232422 254.4071655273438 254.7230224609375 257.8228149414063
98 238.8466186523438 241.7149353027344 244.917236328125 254.4053344726563 254.72265625 257.8226928710938
99 238.8466186523438 241.7148895263672 244.9176025390625 254.4036407470703 254.7223205566406 257.8226013183594
100 238.8466491699219 241.71484375 244.9179840087891 254.4021606445313 254.7220611572266 257.8225708007813
101 238.8466491699219 241.7147674560547 244.9182891845703 254.4007568359375 254.7217712402344 257.8225402832031
102 238.8466491699219 241.7147064208984 244.9185333251953 254.3995208740234 254.7215423583984 257.822509765625
103 238.8466491699219 241.7146759033203 244.9187774658203 254.3984527587891 254.7213897705078 257.8225402832031
104 238.8466644287109 241.7146759033203 244.9190521240234 254.3975677490234 254.7213287353516 257.8226318359375
105 238.8466644287109 241.7146301269531 244.919189453125 254.3966522216797 254.7212066650391 257.8226928710938
106 238.8466491699219 241.7145843505859 244.9192810058594 254.3958282470703 254.7210845947266 257.8226623535156
107 238.8466491699219 241.7145690917969 244.9194030761719 254.3951416015625 254.7209930419922 257.8227233886719
108 238.8466491699219 241.7145690917969 244.9194641113281 254.3945007324219 254.7208862304688 257.8227233886719
109 238.8466491699219 241.7144622802734 244.9194641113281 254.3939056396484 254.7207183837891 257.8226928710938
110 238.8466491699219 241.7144317626953 244.9194946289063 254.3933563232422 254.7206268310547 257.8227233886719
111 238.8466491699219 241.7144165039063 244.9195098876953 254.3929290771484 254.7205352783203 257.82275390625
112 238.8466491699219 241.7143859863281 244.9195251464844 254.3925476074219 254.720458984375 257.82275390625
113 238.8466491699219 241.7143707275391 244.9195098876953 254.3922119140625 254.7204284667969 257.8227844238281
114 238.8466491699219 241.71435546875 244.9194946289063 254.3919372558594 254.7203674316406 257.8228454589844
115 238.8466491699219 241.71435546875 244.9194946289063 254.3917083740234 254.7203369140625 257.8228759765625
116 238.8466491699219 241.7143402099609 244.9194641113281 254.3915100097656 254.7202911376953 257.8229370117188
117 238.8466491699219 241.7143096923828 244.91943359375 254.3913269042969 254.7202453613281 257.822998046875
118 238.8466491699219 241.7143096923828 244.9194030761719 254.3911743164063 254.7202301025391 257.8230285644531
119 238.8466644287109 241.71435546875 244.9194030761719 254.3911285400391 254.7202453613281 257.8231506347656
120 238.8466644287109 241.7143096923828 244.9193420410156 254.3910522460938 254.72021484375 257.8231811523438
121 238.8466644287109 241.7143096923828 244.9193115234375 254.3909759521484 254.7201995849609 257.8232421875
122 238.8466644287109 241.7143096923828 244.9192810058594 254.3909301757813 254.7201690673828 257.8233032226563
123 238.8466491699219 241.7142639160156 244.9192199707031 254.3908538818359 254.7200927734375 257.8233032226563
124 238.8466491699219 241.7142639160156 244.9191589355469 254.3908233642578 254.7200775146484 257.8233337402344
125 238.8466644287109 241.7142333984375 244.9190979003906 254.3908233642578 254.7200469970703 257.8233642578125
126 238.8466644287109 241.7142639160156 244.9190826416016 254.3908233642578 254.7200622558594 257.8234558105469
127 238.8466644287109 241.7142181396484 244.9190216064453 254.3908233642578 254.7200317382813 257.823486328125
128 238.8466644287109 241.7142181396484 244.9189758300781 254.3908386230469 254.7200012207031 257.8235168457031
129 238.8466644287109 241.7142028808594 244.9189300537109 254.3908843994141 254.719970703125 257.8235473632813
130 238.8466644287109 241.7142028808594 244.9188842773438 254.3908996582031 254.7199249267578 257.8235778808594
131 238.8466644287109 241.7142028808594 244.9188537597656 254.3909301757813 254.7199096679688 257.8236083984375
132 238.8466644287109 241.7142028808594 244.9187927246094 254.3909912109375 254.7198944091797 257.8236389160156
133 238.8466644287109 241.7142028808594 244.9187622070313 254.3910369873047 254.7198486328125 257.8236694335938
134 238.8466644287109 241.7142028808594 244.9187316894531 254.3910675048828 254.7198333740234 257.82373046875
135 238.8466644287109 241.7141723632813 244.9186859130859 254.3910980224609 254.7198028564453 257.82373046875
136 238.8466644287109 241.7141723632813 244.9186553955078 254.3911285400391 254.7197875976563 257.8237915039063
137 238.8466644287109 241.7141723632813 244.9186096191406 254.3912048339844 254.7197570800781 257.8238220214844
138 238.8466644287109 241.7141723632813 244.9185943603516 254.3912506103516 254.7197570800781 257.8238525390625
139 238.8466644287109 241.7141723632813 244.9185638427734 254.3912811279297 254.7197113037109 257.8238830566406
140 238.8466644287109 241.7141723632813 244.9185485839844 254.3913116455078 254.7196960449219 257.8239135742188
141 238.8466644287109 241.7141723632813 244.9185180664063 254.391357421875 254.7196655273438 257.8239440917969
142 238.8466644287109 241.7141723632813 244.9184875488281 254.3913879394531 254.7196655273438 257.823974609375
143 238.8466644287109 241.7141723632813 244.91845703125 254.3914642333984 254.7196350097656 257.8240051269531
144 238.8466644287109 241.7141723632813 244.91845703125 254.3914947509766 254.7196197509766 257.8240356445313
145 238.8466644287109 241.7141723632813 244.9184417724609 254.3915252685547 254.7196044921875 257.8240661621094
146 238.8466644287109 241.7141723632813 244.9184265136719 254.3915557861328 254.7196044921875 257.8240966796875
147 238.8466644287109 241.7141723632813 244.9183959960938 254.3915863037109 254.7195892333984 257.8241271972656
148 238.8466644287109 241.7141723632813 244.9183807373047 254.3916625976563 254.7195739746094 257.8241577148438
149 238.8466644287109 241.7141723632813 244.9183654785156 254.3916931152344 254.7195587158203 257.8241882324219
150 238.8466644287109 241.7141723632813 244.9183502197266 254.3917236328125 254.7195434570313 257.82421875
151 238.8466644287109 241.7141723632813 244.9183349609375 254.3917541503906 254.7195281982422 257.8242492675781
152 238.8466644287109 241.7141723632813 244.9183197021484 254.3917694091797 254.7195281982422 257.8242492675781
153 238.8466644287109 241.7141723632813 244.9183197021484 254.3917999267578 254.7195129394531 257.8242797851563
154 238.8466644287109 241.7141723632813 244.9183044433594 254.3918304443359 254.7194976806641 257.8243408203125
155 238.8466644287109 241.7141723632813 244.9183044433594 254.391845703125 254.7194976806641 257.8243408203125
156 238.8466644287109 241.7141723632813 244.9183044433594 254.3918762207031 254.719482421875 257.8243408203125
157 238.8466644287109 241.7141723632813 244.9182739257813 254.3918762207031 254.7194519042969 257.8243713378906
158 238.8466644287109 241.7141723632813 244.9182739257813 254.3918914794922 254.7194519042969 257.8244018554688
159 238.8466644287109 241.7141723632813 244.9182739257813 254.3919067382813 254.7194519042969 257.8244323730469
160 238.8466644287109 241.7141723632813 244.9182739257813 254.3919219970703 254.7194366455078 257.8244323730469
161 238.8466644287109 241.7141723632813 244.9182586669922 254.3919525146484 254.7194213867188 257.824462890625
162 238.8466644287109 241.7141723632813 244.9182434082031 254.3919677734375 254.7194213867188 257.8244934082031
163 238.8466644287109 241.7141723632813 244.9182434082031 254.3919982910156 254.7194061279297 257.8245239257813
164 238.8466644287109 241.7141723632813 244.9182434082031 254.3919982910156 254.7194061279297 257.8245239257813
165 238.8466644287109 241.7141723632813 244.9182281494141 254.3919982910156 254.7193908691406 257.8245544433594
166 238.8466644287109 241.7141723632813 244.9182281494141 254.3920135498047 254.7193908691406 257.8245544433594
167 238.8466644287109 241.7141723632813 244.9182281494141 254.3920288085938 254.7193756103516 257.8245544433594
168 238.8466644287109 241.7141723632813 244.9182281494141 254.3920288085938 254.7193756103516 257.8245849609375
169 238.8466644287109 241.7141723632813 244.9182281494141 254.3920288085938 254.7193756103516 257.8245849609375
170 238.8466644287109 241.7141723632813 244.918212890625 254.3920288085938 254.7193756103516 257.8245849609375
171 238.8466644287109 241.7141723632813 244.918212890625 254.3920593261719 254.7193756103516 257.8246154785156
172 238.8466644287109 241.7141723632813 244.918212890625 254.3920745849609 254.7193756103516 257.8246154785156
173 238.8466644287109 241.7141723632813 244.918212890625 254.3920745849609 254.7193756103516 257.8246459960938
174 238.8466644287109 241.7141723632813 244.918212890625 254.39208984375 254.7193756103516 257.8246459960938
175 238.8466644287109 241.7141723632813 244.918212890625 254.39208984375 254.7193756103516 257.8246459960938
176 238.8466644287109 241.7141723632813 244.918212890625 254.39208984375 254.7193603515625 257.8246765136719
177 238.8466644287109 241.7141723632813 244.918212890625 254.39208984375 254.7193603515625 257.8246765136719
178 238.8466644287109 241.7141723632813 244.918212890625 254.39208984375 254.7193603515625 257.8246765136719
179 238.8466644287109 241.7141723632813 244.918212890625 254.39208984375 254.7193603515625 257.82470703125
180 238.8466644287109 241.7141723632813 244.918212890625 254.39208984375 254.7193603515625 257.82470703125
181 238.8466644287109 241.7141723632813 244.918212890625 254.39208984375 254.7193603515625 257.82470703125
182 238.8466644287109 241.7141723632813 244.918212890625 254.3921051025391 254.7193603515625 257.82470703125
183 238.8466644287109 241.7141723632813 244.918212890625 254.3921051025391 254.7193603515625 257.82470703125
184 238.8466644287109 241.7141723632813 244.918212890625 254.3921051025391 254.7193603515625 257.82470703125
185 238.8466644287109 241.7141723632813 244.918212890625 254.3921051025391 254.7193450927734 257.82470703125
186 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247375488281
187 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247375488281
188 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247375488281
189 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247375488281
190 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247375488281
191 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247375488281
192 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247375488281
193 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247375488281
194 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247375488281
195 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
196 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
197 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
198 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
199 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
200 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
201 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
202 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
203 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
204 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
205 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
206 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
207 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
208 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
209 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
210 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
211 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
212 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
213 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
214 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
215 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
216 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
217 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
218 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
219 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
220 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
221 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
222 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
223 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
224 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
225 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
226 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
227 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193298339844 257.8247680664063
228 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
229 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
230 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
231 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
232 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
233 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
234 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
235 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
236 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
237 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
238 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
239 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
240 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
241 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
242 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
243 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
244 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
245 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
246 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
247 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
248 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
249 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
250 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
251 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
252 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
253 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
254 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
255 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
256 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
257 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
258 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
259 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
260 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
261 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
262 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
263 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
264 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
265 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
266 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
267 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
268 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
269 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
270 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
271 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
272 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
273 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
274 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
275 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
276 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
277 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
278 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
279 238.8466644287109 241.7141723632813 244.918212890625 254.3921203613281 254.7193450927734 257.8247680664063
